Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_086.jpg;0;0;0;0;99.66999;85.58899;0.0002347481;64.64523;-9.29989E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_154.jpg;0;0;0;0;99.66999;85.58899;0.0002344357;64.64523;-9.370154E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_219.jpg;0;0;0;0;99.66999;85.58899;0.0002340707;64.64523;-9.206144E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_286.jpg;0;0;0;0;99.66999;85.58899;0.0002340414;64.64523;-9.075999E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_353.jpg;0;0;0;0;99.66999;85.58899;0.000234301;64.64523;-8.77146E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_420.jpg;0;0;0;0;99.66999;85.58899;0.000234508;64.64523;-8.23266E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_487.jpg;0;0;0;0;99.66999;85.58899;0.0002347254;64.64523;-7.253955E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_553.jpg;0;0;0;0;99.66999;85.58899;0.000235151;64.64523;-6.228413E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_620.jpg;0;0;0;0;99.66999;85.58899;0.0002355415;64.64523;-5.046684E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_688.jpg;0;0;0;0;99.66999;85.58899;0.0002367253;64.64523;-3.987339E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_750.jpg;0;0;0;0;99.66999;85.58899;0.0002370527;64.64523;-3.01124E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_822.jpg;0;0;0;0;99.66999;85.58899;0.0002375323;64.64523;-2.711926E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_889.jpg;0;0;0;0;99.66999;85.58899;0.0002376527;64.64523;-2.274633E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_05_958.jpg;0;0;0;0;99.66999;85.58899;0.0002378258;64.64523;-2.071612E-06
